Id,Profile Name,Number of deaths,Number of infected,Number of healed,Comment,Like,Comment timestamp,Post timestamp,URL,Annotator1,Annotator2,Annotator3,Final annotation
1468,Elbasan Fiki Ramadani,0,29,22,Gjilani ma gjall pak ju lutem ma gjall,0,"Monday, June 8, 2020 11:39pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1469,Besim Gashi,0,29,22,Vushtri be karantin,0,"Monday, June 8, 2020 11:06pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1470,Ujmir M. Krasniqi,0,29,22,Vushtria e ka lshu doren me ni got 10 veta po pin çaj mdoket!!,2,"Monday, June 8, 2020 9:10pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,0,1
1471,Dashnor Kerleshi,0,29,22,"Kishe virusi te kap mas dy jave a filma jeni ka boni, aaa qe ni jav jena liru mejher tash po ndodhin kto raste, tash po te kapka mrena 2 dite po u dika ncncncncnc qfar shendetsie zot runa.",0,"Monday, June 8, 2020 9:06pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1472,Mubarek Misini,0,29,22,"Keshni keshni ,Vushtrria po shkon drejtë  në Europa Ligë ",1,"Monday, June 8, 2020 9:02pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1473,Adnan Salihu,0,29,22,Vushterrija nr 1  bile dikun te jemi te paret ne Kosov ,0,"Monday, June 8, 2020 8:57pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,1,0
1474,Shpëtim Bislimi,0,29,22,Vushtrria ndrroni gotat e qajit bile pine qajin ne gota mdhaja ,0,"Monday, June 8, 2020 8:53pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1475,Dervish Haziraj,0,29,22,Nese nuk gaboi qe një kohë te gjatë nuk ka pas raste ne komunat e Dukagjinit „ Gjakove- Deçanë- Peje- Istog - Klinë .A ka mundesi te mos kete  raste ?,0,"Monday, June 8, 2020 8:44pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1478,Shkelqim Agim Thaqi,0,29,22,"Rritni rastet kete jave se VV ka protresta e duhet me tut popullin, por populli e ka kuptu realitetin.",11,"Monday, June 8, 2020 7:38pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,1,0
1479,Enis Haxhijaj,0,29,22,Hajde ma gjallë Prishtina me na kalu Vushtria sbon hiq! ,3,"Monday, June 8, 2020 7:37pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1480,Selman R. Bojaxhiu,0,29,22,Vushtria lazem o per Karantin   se  e murr pusi ,3,"Monday, June 8, 2020 7:37pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1481,Pajtim Hajdaraj,0,29,22,e Lshut Bajrakin,0,"Monday, June 8, 2020 7:25pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1482,Malsor A. Syla,0,29,22, Shkoi ARBEN VITIA tap e lshut bajrakun ,0,"Monday, June 8, 2020 7:24pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1483,Dan Duraku,0,29,22,Urime kosove,0,"Monday, June 8, 2020 7:19pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1484,Xhelal Veseli,0,29,22,Futnja Karantinen Vushtrris sepse kta si duket nuk po marrkan vesh,1,"Monday, June 8, 2020 7:17pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1485,Ermal Shala,0,29,22,Vushtrria po pin qaj me ni got,12,"Monday, June 8, 2020 7:12pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1486,Foniqi Ado,0,29,22,Paskan pi shum qaj ne vushtrri kto dit  qajtoret full,0,"Monday, June 8, 2020 7:11pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1487,Valon B. Krasniqi,0,29,22,Na te vushtrris gjithkah te paret e majm bajrakun si per mire si per keq “budall hesapi “ duhet me hi karantin   + ore policore,0,"Monday, June 8, 2020 7:10pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1488,Wego Vegim Hamza,0,29,22,Kurgjo sjon per marakliSygjerim ka ni Vitamin C 1x ne dite secilit me covid edhe kalon Faleminderit ,2,"Monday, June 8, 2020 7:08pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1489,Dionis Sopaj,0,29,22,Vushtrinalive naljani çajin se na murren nqaf ,0,"Monday, June 8, 2020 7:08pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,1,0
1490,Liburn Dakaj,0,29,22,"“Pse a po tutesh ti a? Le burr, ti bile duhet me dit qe rren asht kjo pune, krejt politike edhe per biznins u ba”. Ani kishe po ngjes mask, hiqe moreeee. P.S fjalt e nje shqiptari me mjekerr t’holle e me kpuca shpic.",6,"Monday, June 8, 2020 7:08pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1491,Bardha H. Myrtaj,0,29,22,Boll qajin e nxeht e pine ne vushtrri edhe apet me virus ,19,"Monday, June 8, 2020 7:08pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1492,Servete Hasanmetaj,0,29,22,Qka nuk bohem per 1 jave 500 kurgjo duhet mu rrit numri kryesorja pa panik rastet ndodhin jeta vazhdon,3,"Monday, June 8, 2020 7:08pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1493,Roland N Hoxha,0,29,22,ii po shenoj bre me Numra se deri po i lexoj piiiiii ,3,"Monday, June 8, 2020 7:07pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
1494,Arlinda Dragaj,0,29,22,A. A. I.  a e keni pervluu çajiin ojjj A.,0,"Monday, June 8, 2020 7:07pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,0,1
1495,Iss Na Str,0,29,22,Jeckpoot...vushtri e dhezi..apet,1,"Monday, June 8, 2020 7:05pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,1,1,1,1
1496,Ushtria Çlirimtare e Kosovës - UÇK,0,29,22,Rrini n'shpi,0,"Monday, June 8, 2020 7:05pm GMT","Monday, June 8, 2020 9:02pm GMT",https://www.facebook.com/IKSHPK/posts/2803918373069482?__xts__%5B0%5D=68.ARDWABvGTVQ9C2CjDDt_lMHfnYSbCvu0Qj7s6Qe85nAPaFTyKdP76xAmQtcTUui0Lr5ZYbndRjh1-bpfHEsUo7FkXGEI3hKDI77J3wtNsj0RvBoe9Ah-TggVz_KCMtqVNRhuZZ81xaw9U_ApzwaCuj5Sxiab1zMnc6FYVo5bOtwC1Ibq2U5f5wRY-pwF0EMwH3cD9VoHMvJVhGDucZIxJG_Yl9VhtUvpHUt1cr1cTfd085qAqGn-_9v6zsHxyjLwEAxwvFBhCd8ZAbLDzMgIXr6IsFkFoWh7pnSGeUmWYe-3JUazrYAVjN4tP6My2aOPeJS3zsa_vSjIFZGsT09X1w&__tn__=-R,0,0,0,0
